CaseId,Activity,Timestamp
76561198005576553,BUSY_LOOP,2016-07-03 03:06:41
76561198005576553,PARALLELIZE,2016-07-03 03:30:14
76561198005576553,UNCONDITIONAL,2020-04-13 17:38:23
76561198005576553,NO_BACKUP,2017-08-10 19:04:30
76561198005576553,HALT_AND_CATCH_FIRE,2016-07-03 04:25:46
76561198047113247,RTFM,2015-11-24 03:19:06
76561198047113247,HALT_AND_CATCH_FIRE,2020-05-19 07:53:03
76561198081579718,RTFM,2017-05-31 10:55:15
76561198081579718,BUSY_LOOP,2017-05-31 11:10:23
76561198081579718,PARALLELIZE,2017-05-31 11:13:14
76561198081579718,NO_BACKUP,2017-06-02 06:36:33
76561198081579718,HALT_AND_CATCH_FIRE,2017-05-31 10:55:03
76561197993164939,RTFM,2017-08-06 22:14:20
76561197993164939,BUSY_LOOP,2017-08-06 23:39:51
76561197993164939,PARALLELIZE,2017-08-06 23:27:39
76561197993164939,NO_BACKUP,2020-04-21 15:56:16
76561197993164939,HALT_AND_CATCH_FIRE,2019-03-16 14:56:30
76561198210052063,RTFM,2018-02-17 00:27:30
76561198029731782,RTFM,2018-08-24 16:46:17
76561197990997667,RTFM,2016-11-25 01:31:51
76561197990997667,BUSY_LOOP,2016-11-25 03:29:27
76561197990997667,HALT_AND_CATCH_FIRE,2016-11-25 03:37:55
76561198088738915,RTFM,2016-06-24 23:18:40
76561198088738915,BUSY_LOOP,2019-05-19 01:02:23
76561198088738915,PARALLELIZE,2019-05-19 00:55:04
76561198088738915,UNCONDITIONAL,2019-05-19 01:23:12
76561198088738915,NO_BACKUP,2019-05-19 01:12:46
76561198088738915,NO_MEMORY,2019-05-19 01:17:57
76561198088738915,HALT_AND_CATCH_FIRE,2019-05-19 01:19:04
76561198088738915,ILLEGAL_EAGLE,2019-05-19 01:28:08
76561198088738915,100_PERCENT_V1,2019-05-19 02:03:03
76561198088738915,100_PERCENT_V2,2020-04-09 10:33:54
76561198042055174,RTFM,2016-11-05 10:58:23
76561198042055174,BUSY_LOOP,2016-11-17 09:13:09
76561198042055174,PARALLELIZE,2016-11-17 09:04:39
76561198042055174,UNCONDITIONAL,2016-12-06 23:07:10
76561198042055174,NO_BACKUP,2017-01-14 08:46:59
76561198042055174,HALT_AND_CATCH_FIRE,2017-01-14 05:44:51
76561198042055174,ILLEGAL_EAGLE,2017-01-14 06:52:27
76561198042055174,100_PERCENT_V1,2017-01-14 05:35:47
76561198001062211,RTFM,2015-11-25 02:15:48
76561198001062211,BUSY_LOOP,2015-11-25 04:19:14
76561198001062211,PARALLELIZE,2015-11-25 04:22:54
76561198001062211,UNCONDITIONAL,2015-11-30 19:39:32
76561198001062211,NO_BACKUP,2015-11-25 22:27:53
76561198001062211,NO_MEMORY,2021-02-27 22:10:42
76561198001062211,HALT_AND_CATCH_FIRE,2015-11-25 04:49:59
76561198001062211,ILLEGAL_EAGLE,2015-11-26 21:19:33
76561198001062211,100_PERCENT_V1,2016-11-03 22:39:53
76561198001062211,100_PERCENT_V2,2021-04-24 18:21:03
76561198156961560,RTFM,2018-02-12 18:40:40
76561198156961560,BUSY_LOOP,2019-05-07 20:17:44
76561198156961560,PARALLELIZE,2019-05-08 20:12:10
76561198156961560,UNCONDITIONAL,2019-05-08 20:23:39
76561198156961560,HALT_AND_CATCH_FIRE,2018-03-18 22:28:53
76561198156961560,ILLEGAL_EAGLE,2019-05-07 23:05:43
76561198003607086,RTFM,2020-03-08 19:55:14
76561198003607086,BUSY_LOOP,2020-03-08 21:53:20
76561198003607086,PARALLELIZE,2020-03-08 20:10:07
76561198003607086,UNCONDITIONAL,2020-03-08 22:02:52
76561198003607086,NO_BACKUP,2020-03-08 21:48:11
76561198003607086,HALT_AND_CATCH_FIRE,2020-03-08 22:04:41
76561198055177012,RTFM,2020-02-26 04:51:17
76561198055177012,PARALLELIZE,2020-02-26 05:22:33
76561198055177012,NO_BACKUP,2020-02-26 06:45:59
76561198055177012,100_PERCENT_V1,2020-02-28 07:38:17
76561198105067399,RTFM,2020-03-06 18:19:50
76561198122096423,RTFM,2018-10-23 06:22:37
